venta_id,cliente_id,producto_id,canal,cantidad,precio_unitario,descuento_pct,total_venta,metodo_pago,estado_venta,fecha_venta,zona_tienda
VS-0000025,CLI-01897,PRD-0159,tienda_sur,4,1128.82,0,4515.28,transferencia,completada,2026-03-14 17:11:47,zona_b
VS-0000026,CLI-01486,PRD-0013,tienda_sur,8,460.77,0,3686.16,tarjeta,completada,2026-03-24 23:20:56,zona_b
VS-0000027,CLI-01296,PRD-0169,tienda_sur,3,1010.95,5,3032.85,yape,completada,2026-01-12 09:53:50,zona_b
VS-0000028,CLI-01413,PRD-0169,tienda_sur,5,904.54,15,4522.7,transferencia,completada,2026-01-09 00:21:56,zona_b
VS-0000029,CLI-01508,PRD-0076,tienda_sur,4,135.89,0,543.56,transferencia,completada,2026-01-21 11:20:52,zona_a
VS-0000030,CLI-02267,PRD-0147,tienda_sur,8,42.47,15,339.76,tarjeta,completada,2026-03-17 04:11:09,zona_c
VS-0000031,CLI-02660,PRD-0010,tienda_sur,7,140.11,5,980.77,yape,devuelta,2026-01-11 15:46:20,zona_a
VS-0000032,CLI-02999,PRD-0137,tienda_sur,8,131.59,0,1052.72,transferencia,completada,2026-03-16 16:24:37,zona_c
VS-0000033,CLI-01122,PRD-0003,tienda_sur,3,150.03,15,450.09,efectivo,completada,2026-03-21 06:34:43,zona_b
VS-0000034,CLI-02986,PRD-0104,tienda_sur,4,156.74,20,626.96,transferencia,completada,2026-01-25 06:24:08,zona_b
VS-0000035,CLI-02125,PRD-0128,tienda_sur,3,48.08,5,144.24,efectivo,completada,2026-01-22 05:49:08,zona_a
VS-0000036,CLI-01542,PRD-0188,tienda_sur,1,105.38,0,105.38,efectivo,completada,2026-02-18 02:37:55,zona_b
VS-0000037,CLI-02701,PRD-0148,tienda_sur,3,123.23,20,369.69,transferencia,completada,2026-01-15 03:49:03,zona_a
VS-0000038,CLI-01489,PRD-0039,tienda_sur,8,61.08,0,488.64,tarjeta,completada,2026-01-17 15:56:11,zona_c
VS-0000039,CLI-02376,PRD-0022,tienda_sur,2,61.24,5,122.48,efectivo,completada,2026-01-06 07:34:12,zona_d
VS-0000040,CLI-01029,PRD-0101,tienda_sur,4,1072.29,5,4289.16,yape,completada,2026-02-19 15:00:29,zona_b
VS-0000041,CLI-01557,PRD-0085,tienda_sur,6,117.15,0,702.9,yape,completada,2026-02-05 01:35:08,zona_d
VS-0000042,CLI-00731,PRD-0089,tienda_sur,2,68.95,0,137.9,tarjeta,completada,2026-01-09 16:37:43,zona_a
VS-0000043,CLI-02178,PRD-0119,tienda_sur,8,170.18,0,1361.44,yape,completada,2026-01-04 19:26:51,zona_a
VS-0000044,CLI-01732,PRD-0088,tienda_sur,6,59.96,10,359.76,tarjeta,completada,2026-02-28 08:07:07,zona_b
VS-0000045,CLI-02117,PRD-0066,tienda_sur,6,819.09,0,4914.54,efectivo,completada,2026-03-22 23:56:04,zona_c
VS-0000046,CLI-02102,PRD-0109,tienda_sur,8,127.43,0,1019.44,tarjeta,completada,2026-03-28 19:19:38,zona_d
VS-0000047,CLI-02482,PRD-0147,tienda_sur,4,47.46,5,189.84,transferencia,completada,2026-03-12 16:52:50,zona_a
VS-0000048,CLI-01931,PRD-0170,tienda_sur,8,111.76,0,894.08,tarjeta,completada,2026-03-04 17:33:42,zona_b
VS-0000049,CLI-01515,PRD-0058,tienda_sur,6,166.75,5,1000.5,tarjeta,completada,2026-01-22 08:03:52,zona_c
VS-0000050,CLI-00456,PRD-0108,tienda_sur,2,118.43,15,236.86,transferencia,completada,2026-01-25 21:18:37,zona_d
VS-0000051,CLI-01016,PRD-0025,tienda_sur,8,357.96,10,2863.68,efectivo,pendiente,2026-02-17 06:59:53,zona_a
VS-0000052,CLI-01024,PRD-0195,tienda_sur,4,173.27,0,693.08,tarjeta,completada,2026-02-24 17:03:08,zona_d
VS-0000053,CLI-00768,PRD-0049,tienda_sur,7,942.55,10,6597.85,yape,completada,2026-03-24 11:24:32,zona_a
VS-0000054,CLI-02252,PRD-0032,tienda_sur,4,125.82,5,503.28,transferencia,completada,2026-01-11 14:29:18,zona_c
VS-0000055,CLI-02993,PRD-0059,tienda_sur,3,124.05,15,372.15,tarjeta,completada,2026-01-10 14:21:02,zona_c
VS-0000056,CLI-02466,PRD-0168,tienda_sur,6,257.41,15,1544.46,efectivo,completada,2026-02-09 22:23:55,zona_b
VS-0000057,CLI-00502,PRD-0170,tienda_sur,4,111.76,0,447.04,tarjeta,completada,2026-01-23 14:16:48,zona_b
VS-0000058,CLI-00028,PRD-0104,tienda_sur,1,156.74,20,156.74,tarjeta,completada,2026-01-15 09:32:11,zona_a
VS-0000059,CLI-02243,PRD-0024,tienda_sur,1,135.72,0,135.72,yape,devuelta,2026-03-29 13:13:49,zona_c
VS-0000060,CLI-02564,PRD-0132,tienda_sur,4,625.37,5,2501.48,tarjeta,completada,2026-03-29 20:03:37,zona_a
VS-0000061,CLI-01498,PRD-0006,tienda_sur,5,395.52,0,1977.6,tarjeta,completada,2026-03-07 23:26:11,zona_d
VS-0000062,CLI-02843,PRD-0006,tienda_sur,3,336.19,15,1008.57,yape,completada,2026-01-25 10:15:09,zona_b
VS-0000063,CLI-01402,PRD-0081,tienda_sur,8,115.75,0,926.0,efectivo,completada,2026-02-08 07:01:40,zona_b
VS-0000064,CLI-00278,PRD-0089,tienda_sur,8,68.95,0,551.6,efectivo,completada,2026-01-02 10:54:29,zona_d
VS-0000065,CLI-01181,PRD-0056,tienda_sur,1,225.0,5,225.0,efectivo,completada,2026-02-03 22:02:45,zona_d
VS-0000066,CLI-02087,PRD-0013,tienda_sur,2,414.69,10,829.38,tarjeta,devuelta,2026-03-13 09:07:38,zona_c
VS-0000067,CLI-02009,PRD-0194,tienda_sur,6,158.33,10,949.98,transferencia,completada,2026-03-09 08:49:10,zona_d
VS-0000068,CLI-01173,PRD-0185,tienda_sur,7,160.88,10,1126.16,transferencia,completada,2026-03-06 16:01:22,zona_b
VS-0000069,CLI-00439,PRD-0136,tienda_sur,1,93.42,10,93.42,efectivo,completada,2026-03-11 13:45:31,zona_c
VS-0000070,CLI-00817,PRD-0130,tienda_sur,1,355.51,10,355.51,tarjeta,devuelta,2026-01-21 23:04:53,zona_a
VS-0000071,CLI-02498,PRD-0164,tienda_sur,6,339.59,0,2037.54,transferencia,completada,2026-03-22 14:50:19,zona_b
VS-0000072,CLI-02508,PRD-0073,tienda_sur,8,61.22,10,489.76,yape,completada,2026-02-14 03:41:39,zona_a
VS-0000073,CLI-00798,PRD-0119,tienda_sur,2,153.16,10,306.32,tarjeta,completada,2026-01-30 03:02:40,zona_c
VS-0000074,CLI-01910,PRD-0175,tienda_sur,7,74.48,0,521.36,tarjeta,completada,2026-02-02 04:10:48,zona_c
VS-0000075,CLI-02479,PRD-0191,tienda_sur,8,156.18,10,1249.44,yape,completada,2026-03-29 13:50:17,zona_a
VS-0000076,CLI-02580,PRD-0144,tienda_sur,7,66.37,15,464.59,transferencia,completada,2026-01-18 16:27:10,zona_a
VS-0000077,CLI-02925,PRD-0045,tienda_sur,2,37.15,0,74.3,tarjeta,completada,2026-01-05 23:19:12,zona_d
VS-0000078,CLI-01205,PRD-0156,tienda_sur,8,89.98,5,719.84,yape,completada,2026-01-09 14:12:44,zona_c
VS-0000079,CLI-01376,PRD-0136,tienda_sur,8,103.8,0,830.4,transferencia,completada,2026-03-21 08:48:15,zona_c
VS-0000080,CLI-01746,PRD-0102,tienda_sur,5,70.94,5,354.7,efectivo,devuelta,2026-01-02 13:29:00,zona_d
VS-0000081,CLI-01436,PRD-0107,tienda_sur,1,47.57,10,47.57,tarjeta,completada,2026-03-17 16:11:59,zona_c
VS-0000082,CLI-01899,PRD-0071,tienda_sur,7,67.52,5,472.64,yape,completada,2026-02-07 08:47:19,zona_c
VS-0000083,CLI-02390,PRD-0193,tienda_sur,3,46.6,0,139.8,tarjeta,completada,2026-02-24 12:00:37,zona_c
VS-0000084,CLI-01214,PRD-0052,tienda_sur,3,391.33,0,1173.99,tarjeta,completada,2026-01-17 09:41:29,zona_a
VS-0000085,CLI-02551,PRD-0106,tienda_sur,3,221.98,5,665.94,yape,completada,2026-03-03 04:42:21,zona_c
VS-0000086,CLI-01410,PRD-0071,tienda_sur,8,63.96,10,511.68,tarjeta,completada,2026-02-20 21:01:22,zona_c
VS-0000087,CLI-01391,PRD-0014,tienda_sur,2,315.58,0,631.16,tarjeta,completada,2026-01-11 04:55:20,zona_a
VS-0000088,CLI-02026,PRD-0146,tienda_sur,3,77.24,10,231.72,transferencia,completada,2026-02-02 17:17:09,zona_c
VS-0000089,CLI-02793,PRD-0168,tienda_sur,2,287.69,5,575.38,tarjeta,completada,2026-03-19 23:01:50,zona_d
VS-0000090,CLI-00904,PRD-0051,tienda_sur,8,279.19,15,2233.52,yape,completada,2026-03-03 12:22:34,zona_b
VS-0000091,CLI-01895,PRD-0052,tienda_sur,6,391.33,0,2347.98,tarjeta,completada,2026-02-27 04:47:27,zona_b
VS-0000092,CLI-02087,PRD-0077,tienda_sur,1,53.83,10,53.83,tarjeta,devuelta,2026-01-09 00:33:25,zona_b
VS-0000093,CLI-01528,PRD-0028,tienda_sur,3,8.52,0,25.56,tarjeta,completada,2026-03-16 10:51:57,zona_d
VS-0000094,CLI-02070,PRD-0109,tienda_sur,3,127.43,0,382.29,tarjeta,completada,2026-01-09 17:54:45,zona_d
VS-0000095,CLI-00542,PRD-0031,tienda_sur,3,264.18,15,792.54,yape,completada,2026-03-13 13:19:50,zona_d
VS-0000096,CLI-02837,PRD-0059,tienda_sur,8,138.64,5,1109.12,efectivo,devuelta,2026-03-11 06:46:45,zona_b
VS-0000097,CLI-00098,PRD-0113,tienda_sur,4,146.9,10,587.6,transferencia,pendiente,2026-01-01 05:15:38,zona_a
VS-0000098,CLI-01043,PRD-0103,tienda_sur,3,375.62,0,1126.86,efectivo,completada,2026-02-22 22:15:13,zona_d
VS-0000099,CLI-01411,PRD-0194,tienda_sur,8,158.33,10,1266.64,tarjeta,devuelta,2026-03-07 00:57:40,zona_a
VS-0000100,CLI-01717,PRD-0079,tienda_sur,2,262.18,10,524.36,transferencia,completada,2026-02-05 06:07:32,zona_d
VS-0000101,CLI-02329,PRD-0187,tienda_sur,5,26.08,0,130.4,tarjeta,completada,2026-01-21 14:40:25,zona_a
VS-0000102,CLI-01176,PRD-0139,tienda_sur,5,14.93,20,74.65,tarjeta,completada,2026-01-18 17:08:40,zona_a
VS-0000103,CLI-01977,PRD-0003,tienda_sur,4,150.03,15,600.12,tarjeta,completada,2026-02-24 12:13:27,zona_a
VS-0000104,CLI-02411,PRD-0172,tienda_sur,1,136.13,5,136.13,yape,completada,2026-02-19 13:33:08,zona_d
VS-0000105,CLI-01152,PRD-0188,tienda_sur,6,105.38,0,632.28,yape,pendiente,2026-01-24 12:25:30,zona_b
VS-0000106,CLI-02404,PRD-0142,tienda_sur,2,121.27,0,242.54,efectivo,completada,2026-01-02 08:22:15,zona_c
VS-0000107,CLI-02657,PRD-0092,tienda_sur,4,1046.03,10,4184.12,tarjeta,completada,2026-03-04 02:52:40,zona_d
VS-0000108,CLI-02159,PRD-0013,tienda_sur,8,414.69,10,3317.52,yape,completada,2026-02-22 09:46:28,zona_a
VS-0000109,CLI-02455,PRD-0043,tienda_sur,5,24.14,0,120.7,tarjeta,completada,2026-01-28 05:39:41,zona_d
VS-0000110,CLI-00302,PRD-0180,tienda_sur,8,16.31,0,130.48,efectivo,completada,2026-03-19 21:03:48,zona_b
VS-0000111,CLI-02665,PRD-0072,tienda_sur,4,29.39,10,117.56,tarjeta,devuelta,2026-02-05 22:39:23,zona_d
VS-0000112,CLI-01640,PRD-0122,tienda_sur,2,237.03,5,474.06,tarjeta,completada,2026-02-28 06:20:05,zona_b
VS-0000113,CLI-00282,PRD-0139,tienda_sur,3,18.66,0,55.98,efectivo,completada,2026-02-01 22:22:14,zona_c
VS-0000114,CLI-02834,PRD-0059,tienda_sur,8,138.64,5,1109.12,yape,completada,2026-03-20 06:11:42,zona_a
VS-0000115,CLI-00477,PRD-0001,tienda_sur,1,380.31,0,380.31,transferencia,completada,2026-03-27 09:28:39,zona_d
VS-0000116,CLI-01403,PRD-0075,tienda_sur,3,57.92,15,173.76,tarjeta,completada,2026-01-01 06:32:28,zona_b
VS-0000117,CLI-00413,PRD-0032,tienda_sur,4,119.2,10,476.8,tarjeta,completada,2026-01-13 02:10:58,zona_b
VS-0000118,CLI-01253,PRD-0055,tienda_sur,4,20.29,0,81.16,yape,completada,2026-03-08 20:12:16,zona_b
VS-0000119,CLI-02768,PRD-0110,tienda_sur,6,187.94,10,1127.64,tarjeta,completada,2026-02-08 09:27:45,zona_c
VS-0000120,CLI-02950,PRD-0164,tienda_sur,1,339.59,0,339.59,tarjeta,pendiente,2026-01-07 00:20:41,zona_a
VS-0000121,CLI-00777,PRD-0172,tienda_sur,3,136.13,5,408.39,tarjeta,completada,2026-02-06 21:20:32,zona_c
VS-0000122,CLI-00049,PRD-0168,tienda_sur,1,257.41,15,257.41,tarjeta,completada,2026-02-10 04:54:08,zona_d
VS-0000123,CLI-00509,PRD-0199,tienda_sur,2,318.83,15,637.66,tarjeta,completada,2026-03-18 11:08:32,zona_b
VS-0000124,CLI-00539,PRD-0060,tienda_sur,3,118.27,15,354.81,tarjeta,completada,2026-02-10 19:36:49,zona_a
VS-0000125,CLI-00344,PRD-0052,tienda_sur,1,391.33,0,391.33,tarjeta,completada,2026-01-20 21:12:16,zona_d
VS-0000126,CLI-00295,PRD-0060,tienda_sur,2,139.14,0,278.28,efectivo,completada,2026-03-15 21:14:21,zona_d
VS-0000127,CLI-02076,PRD-0067,tienda_sur,8,101.45,0,811.6,yape,completada,2026-03-17 14:15:55,zona_c
VS-0000128,CLI-00646,PRD-0171,tienda_sur,1,30.71,0,30.71,tarjeta,completada,2026-01-05 08:13:10,zona_b
VS-0000129,CLI-00859,PRD-0153,tienda_sur,6,1181.19,0,7087.14,tarjeta,completada,2026-01-23 05:51:00,zona_c
VS-0000130,CLI-01777,PRD-0015,tienda_sur,2,51.61,10,103.22,efectivo,completada,2026-01-13 22:11:39,zona_d
VS-0000131,CLI-01851,PRD-0022,tienda_sur,3,61.24,5,183.72,efectivo,completada,2026-01-27 00:17:43,zona_c
VS-0000132,CLI-00998,PRD-0191,tienda_sur,2,147.5,15,295.0,efectivo,completada,2026-02-09 06:42:41,zona_c
VS-0000133,CLI-00511,PRD-0076,tienda_sur,4,135.89,0,543.56,tarjeta,completada,2026-01-13 18:30:27,zona_b
VS-0000134,CLI-01894,PRD-0072,tienda_sur,5,32.66,0,163.3,efectivo,completada,2026-03-02 13:59:31,zona_c
VS-0000135,CLI-02840,PRD-0001,tienda_sur,3,342.28,10,1026.84,efectivo,completada,2026-01-15 07:45:33,zona_c
VS-0000136,CLI-00205,PRD-0048,tienda_sur,7,291.85,5,2042.95,efectivo,completada,2026-01-09 11:55:29,zona_b
VS-0000137,CLI-00734,PRD-0039,tienda_sur,4,51.92,15,207.68,tarjeta,completada,2026-02-06 06:10:30,zona_a
VS-0000138,CLI-00964,PRD-0162,tienda_sur,2,84.67,0,169.34,tarjeta,completada,2026-02-10 06:24:33,zona_c
VS-0000139,CLI-01795,PRD-0084,tienda_sur,5,100.02,10,500.1,yape,completada,2026-02-07 20:47:05,zona_a
VS-0000140,CLI-00357,PRD-0159,tienda_sur,5,1072.38,5,5361.9,transferencia,completada,2026-03-05 23:25:30,zona_c
VS-0000141,CLI-02886,PRD-0102,tienda_sur,7,59.74,20,418.18,efectivo,pendiente,2026-03-23 06:00:29,zona_d
VS-0000142,CLI-00811,PRD-0157,tienda_sur,1,215.39,20,215.39,tarjeta,completada,2026-03-09 13:45:56,zona_b
VS-0000143,CLI-00663,PRD-0066,tienda_sur,7,655.27,20,4586.89,transferencia,completada,2026-01-31 04:20:16,zona_b
VS-0000144,CLI-00936,PRD-0096,tienda_sur,1,70.28,10,70.28,tarjeta,completada,2026-03-10 20:45:02,zona_c
VS-0000145,CLI-01602,PRD-0084,tienda_sur,7,111.13,0,777.91,yape,completada,2026-02-21 07:53:30,zona_c
VS-0000146,CLI-01391,PRD-0095,tienda_sur,5,47.55,5,237.75,tarjeta,completada,2026-03-11 07:06:07,zona_b
VS-0000147,CLI-02086,PRD-0065,tienda_sur,5,199.53,0,997.65,yape,completada,2026-02-03 17:27:57,zona_d
VS-0000148,CLI-00401,PRD-0174,tienda_sur,3,285.09,10,855.27,tarjeta,completada,2026-02-12 17:12:17,zona_d
VS-0000149,CLI-02561,PRD-0113,tienda_sur,1,155.06,5,155.06,transferencia,completada,2026-02-01 18:59:42,zona_b
VS-0000150,CLI-01226,PRD-0124,tienda_sur,5,146.22,15,731.1,tarjeta,devuelta,2026-03-31 15:29:46,zona_c
VS-0000151,CLI-02721,PRD-0162,tienda_sur,8,76.2,10,609.6,tarjeta,completada,2026-03-11 07:59:34,zona_b
VS-0000152,CLI-02040,PRD-0091,tienda_sur,4,42.34,15,169.36,yape,completada,2026-02-25 02:17:27,zona_b
VS-0000153,CLI-02941,PRD-0072,tienda_sur,5,24.49,25,122.45,tarjeta,completada,2026-02-17 12:24:13,zona_a
VS-0000154,CLI-01501,PRD-0052,tienda_sur,3,391.33,0,1173.99,tarjeta,completada,2026-03-30 00:29:48,zona_c
VS-0000155,CLI-00097,PRD-0160,tienda_sur,7,44.59,5,312.13,efectivo,completada,2026-03-25 14:57:59,zona_b
VS-0000156,CLI-01901,PRD-0003,tienda_sur,7,158.85,10,1111.95,tarjeta,completada,2026-01-24 12:56:02,zona_d
VS-0000157,CLI-00661,PRD-0193,tienda_sur,4,41.94,10,167.76,tarjeta,completada,2026-01-08 08:17:56,zona_d
VS-0000158,CLI-01695,PRD-0088,tienda_sur,5,56.63,15,283.15,yape,completada,2026-03-17 21:21:37,zona_d
VS-0000159,CLI-00696,PRD-0071,tienda_sur,3,60.41,15,181.23,tarjeta,completada,2026-03-03 20:45:52,zona_a
VS-0000160,CLI-01102,PRD-0071,tienda_sur,8,71.07,0,568.56,tarjeta,completada,2026-01-12 08:42:07,zona_a
VS-0000161,CLI-00496,PRD-0185,tienda_sur,1,160.88,10,160.88,tarjeta,pendiente,2026-03-19 07:37:51,zona_d
VS-0000162,CLI-01112,PRD-0125,tienda_sur,2,313.28,0,626.56,tarjeta,completada,2026-03-23 23:25:32,zona_b
VS-0000163,CLI-01957,PRD-0165,tienda_sur,8,913.18,0,7305.44,yape,completada,2026-01-14 22:07:45,zona_c
VS-0000164,CLI-02293,PRD-0033,tienda_sur,6,522.22,25,3133.32,tarjeta,completada,2026-03-05 22:55:02,zona_b
VS-0000165,CLI-00944,PRD-0035,tienda_sur,4,103.23,5,412.92,yape,pendiente,2026-03-12 19:56:37,zona_a
VS-0000166,CLI-02693,PRD-0178,tienda_sur,8,83.22,5,665.76,efectivo,completada,2026-02-25 12:42:47,zona_d
VS-0000167,CLI-02996,PRD-0193,tienda_sur,7,41.94,10,293.58,tarjeta,completada,2026-03-15 14:56:40,zona_c
VS-0000168,CLI-02705,PRD-0085,tienda_sur,1,93.72,20,93.72,tarjeta,devuelta,2026-01-07 16:01:16,zona_a
VS-0000169,CLI-01129,PRD-0104,tienda_sur,7,176.34,10,1234.38,tarjeta,completada,2026-02-21 21:57:06,zona_c
VS-0000170,CLI-00275,PRD-0174,tienda_sur,3,269.25,15,807.75,yape,completada,2026-03-21 20:15:02,zona_a
VS-0000171,CLI-02413,PRD-0001,tienda_sur,1,342.28,10,342.28,efectivo,completada,2026-01-29 04:26:23,zona_a
VS-0000172,CLI-02631,PRD-0042,tienda_sur,6,60.9,20,365.4,efectivo,completada,2026-02-01 18:36:54,zona_a
VS-0000173,CLI-00859,PRD-0001,tienda_sur,4,361.29,5,1445.16,efectivo,completada,2026-01-02 14:47:53,zona_d
VS-0000174,CLI-01709,PRD-0082,tienda_sur,8,303.1,0,2424.8,yape,completada,2026-02-12 10:37:44,zona_b
VS-0000175,CLI-02230,PRD-0190,tienda_sur,1,236.97,0,236.97,yape,completada,2026-03-26 16:38:29,zona_b
VS-0000176,CLI-01117,PRD-0119,tienda_sur,2,153.16,10,306.32,tarjeta,completada,2026-02-24 01:34:00,zona_c
VS-0000177,CLI-00917,PRD-0177,tienda_sur,1,1066.18,0,1066.18,tarjeta,completada,2026-01-13 09:09:41,zona_a
VS-0000178,CLI-02963,PRD-0067,tienda_sur,1,101.45,0,101.45,tarjeta,completada,2026-03-27 01:57:49,zona_a
VS-0000179,CLI-02349,PRD-0037,tienda_sur,2,75.32,0,150.64,tarjeta,completada,2026-02-01 18:54:36,zona_a
VS-0000180,CLI-02941,PRD-0113,tienda_sur,5,146.9,10,734.5,yape,devuelta,2026-01-16 19:24:56,zona_c
VS-0000181,CLI-00320,PRD-0115,tienda_sur,5,1029.74,10,5148.7,tarjeta,completada,2026-01-07 15:28:35,zona_d
VS-0000182,CLI-01106,PRD-0186,tienda_sur,7,60.93,20,426.51,yape,completada,2026-03-23 20:22:26,zona_b
VS-0000183,CLI-00852,PRD-0195,tienda_sur,7,155.94,10,1091.58,tarjeta,completada,2026-01-09 21:47:07,zona_b
VS-0000184,CLI-01705,PRD-0035,tienda_sur,7,103.23,5,722.61,tarjeta,completada,2026-03-24 13:12:33,zona_c
VS-0000185,CLI-02307,PRD-0006,tienda_sur,6,395.52,0,2373.12,efectivo,completada,2026-03-24 05:39:42,zona_c
VS-0000186,CLI-02744,PRD-0129,tienda_sur,7,84.96,15,594.72,yape,completada,2026-01-21 19:39:33,zona_a
VS-0000187,CLI-02966,PRD-0140,tienda_sur,7,117.83,0,824.81,efectivo,completada,2026-01-07 22:00:27,zona_b
VS-0000188,CLI-01484,PRD-0119,tienda_sur,7,161.67,5,1131.69,tarjeta,completada,2026-01-09 20:44:21,zona_b
VS-0000189,CLI-00317,PRD-0100,tienda_sur,7,308.32,15,2158.24,yape,completada,2026-02-26 00:58:03,zona_d
VS-0000190,CLI-01157,PRD-0012,tienda_sur,6,131.0,15,786.0,tarjeta,completada,2026-01-22 03:10:08,zona_d
VS-0000191,CLI-01131,PRD-0166,tienda_sur,6,442.21,10,2653.26,tarjeta,completada,2026-01-11 14:09:04,zona_d
VS-0000192,CLI-00247,PRD-0033,tienda_sur,7,591.85,15,4142.95,tarjeta,completada,2026-03-19 04:27:02,zona_d
VS-0000193,CLI-02926,PRD-0158,tienda_sur,1,218.54,5,218.54,yape,completada,2026-02-04 17:11:05,zona_a
VS-0000194,CLI-01371,PRD-0144,tienda_sur,4,78.08,0,312.32,yape,devuelta,2026-03-09 03:52:14,zona_c
VS-0000195,CLI-02996,PRD-0173,tienda_sur,6,176.53,0,1059.18,efectivo,completada,2026-02-21 10:37:19,zona_a
VS-0000196,CLI-02673,PRD-0122,tienda_sur,7,224.56,10,1571.92,tarjeta,completada,2026-03-23 02:42:26,zona_b
VS-0000197,CLI-02023,PRD-0054,tienda_sur,3,78.92,20,236.76,tarjeta,completada,2026-03-25 03:31:38,zona_b
VS-0000198,CLI-00671,PRD-0042,tienda_sur,3,76.12,0,228.36,efectivo,completada,2026-03-14 11:11:08,zona_b
VS-0000199,CLI-02599,PRD-0082,tienda_sur,1,242.48,20,242.48,tarjeta,completada,2026-03-12 16:53:22,zona_a
VS-0000200,CLI-02013,PRD-0056,tienda_sur,4,201.31,15,805.24,tarjeta,completada,2026-01-21 19:30:08,zona_a
VS-0000201,CLI-02616,PRD-0062,tienda_sur,3,121.18,5,363.54,transferencia,completada,2026-01-13 19:54:04,zona_d
VS-0000202,CLI-01827,PRD-0104,tienda_sur,6,186.13,5,1116.78,tarjeta,completada,2026-03-02 20:32:10,zona_b
VS-0000203,CLI-00642,PRD-0199,tienda_sur,3,375.09,0,1125.27,tarjeta,completada,2026-03-12 16:47:15,zona_a
VS-0000204,CLI-02358,PRD-0002,tienda_sur,8,32.38,10,259.04,efectivo,completada,2026-02-04 00:01:51,zona_b
VS-0000205,CLI-02392,PRD-0155,tienda_sur,1,138.1,0,138.1,tarjeta,completada,2026-03-10 21:42:43,zona_c
VS-0000206,CLI-00823,PRD-0108,tienda_sur,7,104.5,25,731.5,tarjeta,pendiente,2026-03-22 01:54:52,zona_a
VS-0000207,CLI-02583,PRD-0071,tienda_sur,8,71.07,0,568.56,tarjeta,completada,2026-03-13 01:15:01,zona_d
VS-0000208,CLI-01062,PRD-0083,tienda_sur,2,88.08,5,176.16,efectivo,completada,2026-02-23 03:14:11,zona_c
